---
pid: 13044
cwd: "C:\Users\PC\Desktop\ХЗ\адекватный сайт"
command: "Set-Location \"C:\\Users\\PC\\Desktop\\ХЗ\\адекватный сайт\"; python -m http.server 5501 --bind 127.0.0.1"
started_at: 2026-06-12T06:39:03.831Z
running_for_ms: 10180000 
---
Serving HTTP on 127.0.0.1 port 5501 (http://127.0.0.1:5501/) ...
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /js/services.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /css/09-capital.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /js/modules/services-render.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /js/modules/services-tabs.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /js/modules/services-scroll.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:40:35] "GET /data/content.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/01-variables.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/02-base.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/03-preloader.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/04-cursor.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/05-navigation.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/07-marquee.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/06-hero.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /css/08-footer.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/preloader.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/cursor.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/navigation.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/canvas-environment.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/hero.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/marquee.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/home-render.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/footer.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/home-scroll.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:40:56] "GET /js/modules/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /assets/images/photos/alexa-portrait.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/01-variables.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/02-base.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/03-preloader.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/04-cursor.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/05-navigation.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/06-hero.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/07-marquee.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/08-footer.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/09-capital.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/10-about.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/11-reviews.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/13-services.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:33] "GET /css/14-subnav.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /assets/images/photos/alexa-alt.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/subnav.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/preloader.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/navigation.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/cursor.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/canvas-environment.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/hero.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/marquee.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/home-render.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/footer.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/home-scroll.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /js/modules/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:53:34] "GET /data/content.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:37] "GET /assets/images/photos/hero-services.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:37] "GET /assets/images/photos/hero-reviews.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:53:37] "GET /assets/images/photos/hero-capital.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:00] "GET /about.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:00] "GET /js/about.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:00] "GET /js/modules/dual-scroll.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:00] "GET /js/modules/terminal-table.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:00] "GET /js/modules/lightbox-spring.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:08] "GET /assets/images/diplomas/diploma-1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:08] "GET /assets/images/diplomas/diploma-2.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:08] "GET /assets/images/diplomas/diploma-3.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:08] "GET /assets/images/diplomas/diploma-4.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:24] "GET /services.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:24] "GET /js/services.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:24] "GET /js/modules/services-render.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:24] "GET /js/modules/services-tabs.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:24] "GET /js/modules/services-scroll.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /capital.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /js/capital.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /css/09-capital.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /css/11-reviews.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /css/14-subnav.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /js/modules/stages-flip.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /data/content.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /js/modules/scenarios-tilt.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /js/modules/capital-scroll.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /js/modules/three-scene.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /js/modules/subnav.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:54:45] "GET /assets/images/photos/hero-capital.jpg HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /reviews.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /js/reviews.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /js/modules/reviews-render.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /js/modules/multi-step-form.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /js/modules/contact-channels.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /js/modules/footer.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:55:14] "GET /assets/images/photos/hero-reviews.jpg HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:11] "GET /css/15-reveal.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:11] "GET /assets/images/photos/hero-capital.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /reviews.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/boot-guard.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/reviews.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/01-variables.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/02-base.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/03-preloader.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/04-cursor.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/05-navigation.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/06-hero.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/07-marquee.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/08-footer.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/09-capital.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/10-about.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/11-reviews.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/12-home.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/13-services.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/14-subnav.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /css/15-reveal.css HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /assets/images/photos/hero-reviews.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /data/content.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/preloader.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/cursor.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/navigation.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/canvas-environment.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/subnav.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/reviews-render.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/multi-step-form.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/contact-channels.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/footer.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:25] "GET /js/modules/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/03-preloader.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/06-hero.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/09-capital.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/15-reveal.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/modules/canvas-environment.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/modules/preloader.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/modules/hero.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/modules/marquee.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/modules/home-render.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:41] "GET /js/modules/home-scroll.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:58:44] "GET /assets/images/photos/hero-services.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:44] "GET /assets/images/photos/hero-capital.jpg HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:58:44] "GET /assets/images/photos/hero-reviews.jpg HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/03-preloader.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/06-hero.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/09-capital.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /css/15-reveal.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /js/modules/preloader.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /js/modules/canvas-environment.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:05] "GET /assets/images/photos/hero-reviews.jpg HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /capital.html HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/capital.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /css/06-hero.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /css/09-capital.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /css/15-reveal.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/modules/canvas-environment.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/modules/three-scene.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/modules/capital-scroll.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/modules/scenarios-tilt.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /js/modules/stages-flip.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:16] "GET /assets/images/photos/hero-capital.jpg HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /js/boot-guard.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/03-preloader.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/13-services.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/12-home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/09-capital.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/06-hero.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jun/2026 13:59:27] "GET /css/15-reveal.css HTTP/1.1" 304 -
